"","iso","state_cap","interest_groups","policy_cov_avg","monitor_enforce"
"1","ARG",0.461677120494797,0.773533417186373,0.827622900183695,-0.543662285645666
"2","AUS",1.79004373631764,0.723952493146794,-0.428080810439842,1.24082750399996
"3","BRA",-0.133682363759807,0.539788101226625,0.513696972527811,0.0673780244278944
"4","CAN",0.961485082585081,0.658458534728719,0.513696972527811,1.04877976690534
"5","CHN",-0.859339378238482,-0.878332313142957,0.513696972527811,-0.367149484064762
"6","EU",0.832820911714246,0.770771634387599,0.827622900183695,0.985207003666383
"7","IND",-1.02972845622381,-0.333130649349373,0.827622900183695,-0.107446141118128
"8","IDN",-0.124327669282181,0.452274426432383,0.199771044871926,-0.315028716366614
"9","IRN",-0.353517683984009,-2.40425793836822,-1.99771044871926,-2.60575428842472
"10","JPN",0.700890022136938,0.942189484538109,0.827622900183695,1.14829343295549
"11","MEX",-0.677591028387469,0.282946142347918,0.827622900183695,-1.43095396817664
"12","NGA",-1.01970556928349,0.0328765900801374,-1.68378452106338,-0.597471592018847
"13","NOR",1.69181944430257,0.329346029967387,-1.05593266575161,1.2762876924143
"14","RUS",-0.969591134581927,-1.46693788666906,0.827622900183695,-0.798412464980385
"15","SAU",-0.819916022939917,-2.36292110955485,-0.428080810439842,-0.851771572261437
"16","ZAF",0.127580889151024,0.633484996701801,0.199771044871926,-0.475331137755834
"17","KOR",1.10848742437634,0.721849687002879,1.14154882783958,0.554138947751581
"18","THA",-1.23285896488082,-0.253485248367439,-2.31163637637515,0.134470832734822
"19","TUR",-1.49946775749315,-0.499859871335415,-0.428080810439842,-0.418707405537899
"20","GBR",1.0998009223614,0.841364375710707,0.827622900183695,1.12375271444197
"21","USA",0.784414079972881,0.884831713056084,-0.114154882783958,1.14266482466561
"22","VNM",-0.839293604357855,-0.388742609726197,-0.428080810439842,-0.210111687612424
